run,Matching_score,gt_Matching_score,R_precision_top_1,R_precision_top_2,R_precision_top_3,gt_R_precision_top_1,gt_R_precision_top_2,gt_R_precision_top_3,FID,SRA,SRA_3,SRA_5,skate_ratio,Inference_time,Diversity,gt_Diversity
mix/1,5.620280742645264,3.3369977474212646,0.23125000298023224,0.3375000059604645,0.44999998807907104,0.3375000059604645,0.5562499761581421,0.6625000238418579,7.8440924884165355,25.625,36.875,40.625,0.4037161883555996,4.698210287094116,8.897615,9.603917
mix/0,8.431163787841797,3.4249584674835205,0.05624999850988388,0.13750000298023224,0.1875,0.35624998807907104,0.5687500238418579,0.6499999761581421,22.817833827843458,54.375,78.125,81.25,0.2957675179842424,7.797218942642212,6.586975,7.7160325
mix/0,6.144800186157227,3.4249584674835205,0.23125000298023224,0.34375,0.4312500059604645,0.35624998807907104,0.5687500238418579,0.6499999761581421,10.223210872803975,51.875,68.75,76.25,0.20936266953399557,6.781414556503296,7.9713354,7.7160325
mix/0,4.43588399887085,3.4249584674835205,0.33125001192092896,0.4437499940395355,0.550000011920929,0.35624998807907104,0.5687500238418579,0.6499999761581421,4.1817320382293275,33.125,51.875,57.5,0.1622671881145409,8.014379358291626,9.191465,7.7160325
mix/0,9.14816951751709,3.4249584674835205,0.02500000037252903,0.08749999850988388,0.10000000149011612,0.35624998807907104,0.5687500238418579,0.6499999761581421,24.35825622434794,58.125,79.375,83.125,0.2665936354178561,5.892083024978637,6.7111177,7.7160325
mix/0,4.88218879699707,3.4249584674835205,0.26875001192092896,0.4375,0.518750011920929,0.35624998807907104,0.5687500238418579,0.6499999761581421,5.318190950729758,38.75,56.875,63.75,0.1656253568302059,8.048627662658692,8.95492,7.7160325
mix/0,6.9444499015808105,3.4249584674835205,0.16875000298023224,0.23749999701976776,0.30000001192092896,0.35624998807907104,0.5687500238418579,0.6499999761581421,12.47395781580012,63.125,80.0,82.5,0.19036391923267232,5.771018743515015,7.439444,7.7160325
mix/0,4.43588399887085,3.4249584674835205,0.33125001192092896,0.4437499940395355,0.550000011920929,0.35624998807907104,0.5687500238418579,0.6499999761581421,4.1817320382293275,33.125,51.875,57.5,0.1622671881145409,6.183149003982544,9.191465,7.7160325
mix/0,8.964054107666016,3.4249584674835205,0.0625,0.08749999850988388,0.11874999850988388,0.35624998807907104,0.5687500238418579,0.6499999761581421,18.18517004912833,70.625,87.5,88.125,0.17212474149633972,7.421776008605957,7.232647,7.7160325
mix/0,8.793917655944824,3.4249584674835205,0.03125,0.05624999850988388,0.11249999701976776,0.35624998807907104,0.5687500238418579,0.6499999761581421,15.556880035906659,66.875,88.125,90.625,0.1608874446516703,5.2743579864501955,7.6543336,7.7160325
mix/0,4.351367950439453,3.4249584674835205,0.34375,0.44999998807907104,0.543749988079071,0.35624998807907104,0.5687500238418579,0.6499999761581421,3.934391077266696,30.0,50.625,56.25,0.16418431786751925,4.742929935455322,9.260782,7.7160325
mix/0,4.17672061920166,3.4249584674835205,0.3499999940395355,0.4937500059604645,0.612500011920929,0.35624998807907104,0.5687500238418579,0.6499999761581421,3.3664567032311368,26.875,43.125,51.25,0.1642875607404306,4.808961343765259,9.438835,7.7160325
mix/0,5.653154373168945,3.4249584674835205,0.29374998807907104,0.40625,0.4437499940395355,0.35624998807907104,0.5687500238418579,0.6499999761581421,8.536025055056868,48.125,59.375,70.0,0.21799613671830395,4.774728536605835,8.334143,7.7160325
mix/0,5.015786170959473,2.989509105682373,0.3112069070339203,0.45237070322036743,0.5439655184745789,0.5157327651977539,0.7043103575706482,0.803017258644104,5.476127730825823,49.54741287231445,67.65086364746094,73.77155303955078,0.1662130507024934,6.234501458858621,7.6531157,10.315064
